premise,hypothesis,label
An attractive girl with a cigarette in one hand leaning over and showing lots of cleavage.,The woman is showing her chest.,0
A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon.,The red team winning the basketball game.,1
A group of young men are putting something together with a board.,men are working together,0
People in summer clothes are walking on the sidewalk of a large city.,A group is walking in new york,1
a wet dog chasing a white ball,A dog sits sadly.,2
Group of three men and women in their late 20s watching an older man play guitar in the park.,a man entertains people,0
A black dog walks on the beach near the rocks.,A black dog walks on the beach near the rocks.,1
An asian man giving a speech.,An asian man speaks to a group,0
"Person wearing a red shirt, blue pants, and white shoes, sitting on curb with cellphone in hands in front of a parking lot of an industrial building.",The person's car broke down.,1
Scientists watching liquid flow out of a beaker in a lab.,Scientists wearing lab coats.,1
A biker in red rides in the countryside.,A biker rides in the countryside.,0
two children play soccer next to a red cone.,Two children are playing catch before the baseball game.,2
Jewish family drinking red wine.,A Christian family is opening Christmas presents.,2
A woman wit a brown long jacket on passing by two women hugging in the background in the street.,The two woman are in a riding a bear.,2
A male driving a bulldozer to plow green grass and rocks,a guy is getting paid 50 dollars an hour to use a bulldozer,1
The man on the bike is sitting on a gravel hill.,The man on the bike is sitting on the hill,0
A man doing a one armed handstand in the grass.,the man is happy in the ggrass,1
Three hikers are standing near and on a wooden structure made partially of logs.,Five hikers sitting around a metal structure.,2
a male tennis player with a blue headband is holding a racquet,A tennis player holding a racket.,0
A couple of women working in at a table with cigar tubes.,One man works at a table with cigar tubes,2
A girl rides a unicycle as another rides a scooter next to her.,A girl riding a unicycle with multiple wheels.,2
a long-haired woman is eating with a man.,A woman is eating.,0
A woman pushes a man in a wheelchair at the beach.,There are people on the beach at night.,1
A man in a brown sweater is standing by a machine holding a paper item in his hands.,A man put something from a machine in a brown paper bag,1
A woman laughing at a man as he eats something that displeases him.,The woman and the man are trying out new foods together.,1
An Asian street performing couple wearing black outfits with giant bowties are making funny gestures in front of an audience which is sitting on the sidewalk.,A couple perform mime on the street.,1
An old man wearing glasses sitting at a table by himself looking to his left.,The man is blind.,2
A child standing and staring at something.,A child is standing up.,0
"There is an ice hockey game, with players and a ref near one of the goals.",The soccer game is fun.,2
A man shopping for fresh lettuce in a market,The man is eating tuna salad on a park bench.,2
A man sleeps on a bench behind a fountain.,The man is wide awake,2
This is an outdoor marketplace.,The market takes place outdoors.,0
A small child bangs a metal pan with a red and tan wooden hammer.,The child is wearing a blue shirt and brown pants.,1
"A thin man with messy, orange hair moves his hands over a flying saucer shaped metal object.","A frail, thin man with messy reddish, orange hair observes a flying sauce shaped object with his hands.",1
Two men are wearing hula skirts in the back of a moving truck.,The men are dressed in formal gowns.,2
A man looking into a window in a rural home.,A man looking into a window.,0
Three men are wearing safety yellow jackets and hard hats on the sight of a construction project; one is in a hole and the other two are looking at the man standing in the hole.,Two men look at another man in a hole.,0
Hundreds of dirt bikes squeeze between other vehicles on a crowded street.,Some dirt bikes are racing on the local dirt track.,2
Groom posing with bridesmaids.,The groom and the bridesmaids are sitting at the table eating dinner.,2
A little Asian girl is poking at her face and poking her lip out as if to make a funny face.,The little girl is trying to make someone laugh.,1
I'm enjoying my new toy for Christmas.,I received a toy for Christmas.,0
A man is riding a board in the ocean and is being pulled from above.,A man is surfing.,1
There are handprints all over this mat.,Handprints on a mat,0
Man standing in the water while other men on bridge watch him.,There is a man being watched,0
A man in a red dress coat riding a white horse in sand.,A man rides a horse.,0
The person in the blue coat takes a photo of the man and woman with braids.,The father and son had their picture taken by a person in a blue coat.,2
Two men wearing black t-shirt and headphones are next to a silver race car.,Two friends are looking at a car.,1
A man is wearing Rollerblades standing on a paved area near a park bench.,A guy in rollerblades is taking a break before heading back home.,1
Beach scene with young woman in skimpy bikini top in foreground,She wore an itsy bitsy teeny weeny yellow polka dot bikini.,1
Seven bystanders watching two women in pink outfits and a third person in a blue shirt ride a unique Ferris wheel apparatus in the middle of a forested area while smoke billows in the distance.,"The smoke is covering up the whole sky, making it look blue.",2
"There are 4 people in costume, including a reindeer and a pink table.",People are dressed up in costumes.,0
A man driving a four-wheeler off-road.,A man riding through mud.,1
"A male janitorial worker, in a bright orange jumpsuit, and rubber boots, cleaning graffiti off a wall in a subway tunnel.",A janitor is cleaning paint off a wall.,0
A boy is standing on the stairs with his arms folded.,A grumpy boy is standing on the stairs angry because his mom woke him up.,1
The woman in the tank top has a tattoo on her arm.,The man has a tattoo.,2
A man in a red jacket rides a horse in mountainous terrain.,"A person in a national park, enjoys a beautiful sunny day outside.",1
David Beckham player playing soccer on a field,David Beckham is on a field.,0
A warehouse manager assisting an employee.,Two people are in a warehouse.,1
"This is a four-way stop featuring three cars, one cyclist, and two pedestrians.",This is a four-way stop with heavy traffic.,1
Pushing the flower pots to the garden to plant.,Nothing is in the garden,2
A light brown dog is splashing in the water with its paw.,A brown female dog splashing at water with its paw.,1
a man in a gray uniform sliding into a base,A man scores a touchdown.,2
A bunch of people are mingling in a fair where there booths with the flags of countries draped over the walls.,Nobody is outside.,2
A man pushing a carrier picks his nose as he walks down the street.,The man has allergies.,1
A little boy is holding a shovel.,A boy is holding something.,0
a black dog jumping to catch a rope toy,The dog is playing fetch.,1
A woman makes faces at a small child.,A women is cooking by herself in the kitchen.,2
A man is firing a handgun.,The person had a handgun and was using it.,1
A lady standing by a tree looking at her phone.,A woman is outside.,0
Native woman being constructive with her hands.,The native women is sitting around looking at each other.,2
A person is flying through the air attached to a board with a parachute.,A person is roller skating.,2
A senior with a gray sweater and kid with a brown and white striped polo talking and handling tools.,"Two people talk while they work with tools, one older and in gray and one young and in striped brown and white.",0
A man in blue works on a tile roof.,The man is wearing red.,2
A boy doing a back flip off of a sand dune.,A boy does a flip off a sand dune.,0
Two women sit on the beach in holes seem to be digging for something with rocks and sand all around them.,Two women are digging for clams.,1
A girl with a guitar and a guy with an umbrella sitting in front of a gate on the sidewalk.,The girl and guy are playing music.,1
A lady with a dinosaur puppet talks to a child.,A lady talk to a child with a puppet.,0
A pilot is putting his luggage right next to the plane in the airport.,The pilot is waiting for his plane.,1
Ladies dressed in nice attire talking.,Women dressed nicely are talking about books,1
Four boys in water are hanging on to the concrete ledge.,the four boys are swimming,1
An excited boy plays in the bucket of a piece of construction equipment.,Early bird gets the dragon.,2
A woman sitting in a field of flowers,The woman is outside.,0
Two barefoot girls are taking a walk with their parents,Parents take a walk with their children.,0
Two people are walking in opposite directions in front of the same store that says there is a 50% sale.,One person is leaving while the other person is arriving at the store.,1
Two young boys playing on a white sofa.,Two boys are running in a field.,2
Older man running with the Olympic Torch while onlookers take pictures.,A man is running into the Olympic Stadium with the torch.,1
Competitors getting ready to compete in a grand opening event hosted by the chief executive,Nobody is getting ready,2
A youth standing nest to a metal fence with a black shirt on and a cigarette in their mouth.,The young person standing next to the metal fence with a cigarette in his mouth,0
The white dog with black spots is catching a red Frisbee.,The dog is playing fetch at the park.,1
A group of people are walking down a dimly lit hallway.,A woman walks down a brightly lit corridor.,2
Road crew dressed in safety green shirts are standing near a white 4 x 4 truck.,Road crew trying to fix a fax machine.,2
A little boy in a red hat riding a horse.,A girl in a blue hat is riding a horse.,2
Sprinkler goes off in the middle of a crowd.,People wait to be seated inside a restaurant.,2
"A group of people wait outside a building, some carrying flowers.",People waiting.,0
"A kid with Green shoes, red shorts, and a blue hat and shirt stands on a stretch of pavement.",a kid is waiting for his friends,1
"Three people, all with gloves, are using a wheelbarrow to do yard work on a sunny day.",People using a wheelbarrow.,0
A man climbs up a rock.,A man is outside climbing.,1
A family sitting around a table for a meal.,A family is eating dinner together.,1
A woman in a white outfit is playing tennis.,A woman plays a sport.,0
A crowd of people are standing in front of a tent for the American Parkinsons Disease Association.,The crowd of people are sitting on a bench eating potato chips outside of the bar.,2
A man wearing a light blue shirt and gray pants is crouched in a field holding nuts in his hand.,the man is wearing a white shirt and blue pants,2
An elderly woman and a young girl working on arts and crafts.,No one is making stuff.,2
A family of six are playing Monopoly together in the living room.,Some people play a board game.,0
"A young man in a black hat walking down the street, pointing at something in the distance.",The man is drinking a beer in a pub.,2
A man in a canoe sits on a placid lake surrounded by lush green foliage.,A man is in the water after overturning his canoe in rough water.,2
"A small child is playing with cut-outs of the letter ""P.""",Small child drinking milk,2
A man aboard a red train helps a small child onto it while another person tries to get on.,the man is riding the ferry,2
Teenagers are looking out the window of a bus.,Teenagers are happily looking out the window.,1
A man in brown clothing is swinging at a golf ball with a club.,A man swings at a golf ball.,0
A man in a black jacket with a hood is cleaning the windows of a building while being suspended over the city.,A man is washing windows of a skyscraper.,1
A woman in a dark shirt holding a book and a star with a big smile.,A man in a white shirt discards a bad book.,2
A person standing outdoors at the very top of many stairs at dusk.,A woman is standing at the top of stairs,1
A woman standing in front of a dock with coolers.,A woman is on a dock with coolers.,1
a mother and her daughter are enjoying a ride in a strawberry at a theme park.,The mother and daughter are inside a spinning strawberry.,1
A young girl with blond-hair is digging in the sand with a small scoop on the beach with the ocean in the background.,The brunette child is playing on the beach.,2
An older man with a green shirt walks down the sidewalk past a large building.,A man walks by a skyscraper.,1
many birds sit on a ledge.,Birds sit on a rooftop,1
A man playing an acoustic guitar.,A guitar player is playing in a band.,1
A man in a wheelchair is sitting outside holding a beverage and looking in a window.,A guy has something to drink.,0
Young men run on the beach to train for football.,Men are outside.,0
A man in a green winter jacket feeds the geese.,a man is singing.,2
"A mustached man wearing red plaid kilt, blue shirt, and a black vest is playing a bagpipe in front of a similarly dressed man holding a drum.",The man is playing an instrument,0
"A street artist sits cross-legged surrounded by many drawings, one of which he is currently working on.",An artist is carefully constructing a 3D chalk art on the ground.,1
A man playing field hockey with his team jumps in the air.,A guy shows off his hops.,0
"A fairly large woman opens one side of a double swinging door, while a large man goes out the other side of the same door.",a woman opens a door,0
A woman is throwing her wet hair back creating a pattern with the dripping water.,A woman just got out of a shower.,1
a windsurfer is making a big splash in the ocean whilst riding a red windsurf.,The surfer is female.,1
Children enjoy an abundance of bubbles coming from a nearby fountain while someone captures the moment.,Children are playing around a fountain while having their picture taken.,0
A man's hand extending his cup out to be refilled by a woman at a social event.,The man is a hobo and needs some change.,2
There is three small children playing and some adults are sitting on the benches.,The children sit on the benches.,2
An older man sits on a bench at the bus stop.,An older man sits on a bench at the bus stop while reading a newspaper.,1
"an older woman in a Burberry coat, eating.",a woman is eating,0
Construction workers are working on the side panels of a tunnel.,The construction workers are on the grass eating sandwiches as they work.,2
A woman walking in front of a truck talking to someone that is walking beside her.,a woman is talking to a truck driver.,1
"A short-haired man in a white shirt and khaki pants walks forward past a black car, holding a white notebook.",The young woman with short hair and shorts walks past a blue car.,2
The two man are fixing something.,Two bothers are repairing something.,1
A woman works at the potter's wheel.,The woman is an employee at the pooter's wheel.,0
A boy jumping to hit a tennis ball with his racket,The boy is very athletic.,1
A man shucking corn while his son watches television.,The little boy doesn't have to help with chores right now.,0
A kid and a boy is riding their cycles.,Kids are at school,2
"A person carrying a metal-detector, walking down a busy, sandy beach.",A person looking for treasure on a beach.,1
A man stares out across a rail yard.,A man is outside.,0
A man in a white shirt is handling long loaves of bread in a cluttered restaurant kitchen.,The man is wearing a red shirt,2
Two men are wearing hard hats and safety vests.,Men are dressed for safety,0
Three people resting on a snowy mountain.,Four people are on a snowy mountain.,2
A picture of a brick building.,A picture of a restaurant.,1
A person in a blue biking uniform is ridding a dirt bike on a grassy track.,The person is in a race.,1
old lady carrying coffee down street.,lady is having coffee with her,0
"A child, roughly ten years old, playing a video game on an old style computer.",The child is playing a video game.,0
"Emergency medical crews, firefighters, and police officers at the scene of a car accident.",The drivers have not died.,1
A girl is playing the violin in the street while her band mate on the guitar is talking on her cellphone with a confused look.,Four boys play guitar and a girl is happy.,2
A man in a green shirt and fatigues is fixing his bed,The man is wearing a mask.,1
"Two young ladies affectionately hugging each other with their faces touching, as they smile at each other.",The women are fighting,2
Three people sitting at a round table are looking at another man pointing at something written on the wall.,The man is dancing on the table.,2
Shirtless man sleeping on bench that has words Matulog.,A tall human sleeping,1
Two little girls are playing on a trampoline.,Ten children stare at a broken trampoline.,2
"Somewhere in Asia, a child is dressed in a costume, possibly as a sort of demon, and is doing a presentation in front of a large audience.",A child is dressed in a normal clothes.,2
A boy wearing a helmet on a bicycle in a wooded area.,A boy on a bicycle.,0
Three workers smiling in a restaurant setting.,The workers were sleeping in a car.,2
A woman and a young girl walk along a wall with the numerals ninety-six adorned upon it.,A woman and a young girl walk/,0
This picture is of a man in an odd outfit juggling.,There is a picture of a circus clown performing.,1
Three road workers work on dirt ramp next to highway.,Three workers are making an off ramp larger.,1
A young barefoot boy is sitting on the earth while holding a large rattan pole.,There is a boy sitting outside,0
A man with long hair plays a copper-rimmed drum set in front of a Warped Tour 2012 banner.,A man with short hair plays a copper-rimmed drum.,2
Two soldiers mounted on horseback.,The soldiers are patrolling,0
"A man on a white horse looks into the distance, as does a man in a red hat standing nearby.",Nobody has a horse,2
A man in a swimming pool holds a smiling boy in a flotation device.,The man is in the water.,0
"A snowboarder wearing a blue jacket and green pants is speeding down the side of a mountain with snow shooting behind him, with a blue sky and green trees in the background.",Two people skiing slowly and cautiously with the dark night sky behind them.,2
The rider is biking in the snow and wearing a red jacket.,The rider is trying to ride his bike through the snow.,1
An Asian woman shows something to a group of women in a green room.,An asian woman is sleep infront of people.,2
The train car is nearly empty.,The train car is almost empty because it's coming to the end of the line,1
A group of people are watching a statue being erected.,A group of people watching an event.,0
A large group of people waiting at a train station.,A group of schoolchildren going on a fieldtrip are waiting to board a train.,1
A naked child stands facing two wet objects that are lying in a small pool of liquid and green substances.,The child is asian.,1
NYPD officers are watching woman at a beach.,police are looking for a suspect,1
Two furry light brown dogs lying on a hardwood floor.,The dogs are taking a nap.,1
A male is leap frogging near a pond.,A male is near a pond.,0
A young man is running and performing a trick over a balance beam.,the gymnast is performing his balance beam routine.,1
several people at an airport.,The people are alone.,2
"A group of dancers, wearing black pants, tank tops, and black hats, are dancing, holding canes in the air, with their right legs slightly extended.",some dancers are holding canes,0
Two men play football.,The men are sleeping .,2
"Two young, barefooted boys are standing outside next to an area covered with trash; behind them are tall, green trees and shrubs.","Two young, barefooted boys are standing in front of tall trees.",0
"Two crew workers in orange and yellow safety gear are holding a long, thick road that runs over the edge of a structure.",The crew workers are eating lunch.,2
An older man in a red vest and blue cap is walking with a cane carrying a white bag.,The man is older than most.,0
A man in a red vest and straw pork-pie hat holds a saw and bow and speaks into a microphone.,A large crowd has gathered to hear the man speak.,1
a baseball player jumps against the fence to make a catch,Man playing baseball.,0
A woman is crossing the street holding a baby.,A woman holding a baby walks across the street.,0
"A young, smiling woman takes a picture of her friends as one waves to the people below them.",A person takes a picture of other people.,0
A woman is waiting to cross the street.,A woman is getting ready to cross the street.,0
Two kids are in a stroller in front of a fire engine.,Two children sit in a stroller.,0
"A group of men are dressed in old military costumes, carrying instruments as if in a parade.",Some men are holding instruments.,0
A city street is shown with a large number of people and double-decker buses.,People swimming in a pool.,2
Young shirtless boy sleeping on a couch with his hand on his chest.,a boy sleeps on the floor,2
A group of women walking away from a beach.,The women are outdoors.,0
An elderly woman sits in a chair and wear a winter hat and coat.,An elderly woman sits in a chair,0
A bearded man with a hat and glasses talks while two other men listen.,The man in the hat is the boss.,1
Several young children are enjoying juice boxes while an older boy holds a soccer ball.,a bunch of kids drink juice and play sports,0
A person falling after being thrown from a bull.,the person is a woman,1
A group of people dressed as pirates.,A group of people are naked.,2
It looks like the surfer is riding a big wave.,The surfer is out in the Pacific Ocean.,1
A woman in a green shirt running a race.,There is a woman running wearing light green shoes with the number 18 attached to her shirt.,1
"A woman and a man sit on a stone bench, with tall buildings behind them.",There are two people outside,0
Two young girls with fishing poles and a man displaying a fish they caught.,child sings,2
Three children and a woman stand near the water's edge.,People are standing near the water.,0
"A man wearing an extremely short necktie, suspenders, and brightly colored striped socks stands on a stage, doing something with a contraption involving objects which roll back and forth on strings.",A man performs on stage.,0
A person is eating a plate of pasta with a black and brown dog on his or her lap.,A person is eating lasagna.,1
A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.,A person jumps a quad over a field to escape the Nazis.,1
Two martial arts fighters spar at a competition.,Two competitors fight using a martial art.,0
Woman standing at a graduation event.,The woman is eating at the event.,2
"A woman holding a bunch of Mickey Mouse, Minnie Mouse, Buzz Lightyear balloons.",The woman is holding knives.,2
A young girl is holding her teddy bear while riding a pony.,A young boy plays with monster trucks.,2
A man in brown being followed by a man in black while walking down the street.,Two men are walking down a street.,0
The leashed dog is looking over the stone wall.,Woman walking her pet pig.,2
A monster truck soars into the air at an arena.,A monster truck soars into the air at a busy arena.,1
Four players on a soccer team stand on a field while one of them holds the yellow ball and talks to the referee.,Soccer players on the field.,0
A woman with a tattoo on her back walks away from the camera.,The woman has no tattoos.,2
"A young man sits on a cliff, watching the ocean.",The man is waiting for the sunset.,1
"A woman is sitting outside her house with a blue door, enjoying the air.",The woman is relaxing outside.,0
A group of people is standing on a pier in front of a large green boat.,They are on the Carribean seas.,2
A group of people playing a board game.,A group of people are waiting for their turn in a game.,0
A man hugging his spouse looks across the waterway.,Two men in a field look towards rocks,2
Woman wearing a blue shirt with a white vest and a white cap talking while marching.,Woman talking while marching.,0
Snow is dusted on the young boy's clothing making it appear that he has fallen several times.,A boy making lying down making snow angels.,2
A dancer performs a jump in slow motion.,The dancer is rolling on the floor.,2
"A number of people are walking along a city street, there are advertisements for Maker's Mark in the background.",A crowd is going to Maker's Mark.,1
A profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt.,A picture of a young man who is bald.,2
5 people having conversation at the dinner table.,People are having a conversation.,0
A woman wearing a blue jersey with the number 8 on the back is sliding into a base in a softball game with a woman in a white jersey is jumping in front of her.,The woman is wearing a jersey with the number 8.,0
This is a group of young adults at a party and they are all having fun.,Just elderly people sitting.,2
A man standing next to a large plate.,The man owns the large plate.,1
A yoga instructor teaching a yoga class or friends doing yoga.,the yoga class is small,1
A man getting a tattoo on his back.,The artist is putting a butterfly on a client.,1
A family with young children with suitcases walk down a paved area.,The family are outside.,0
A chandelier hangs above a group of people sitting at a restaurant table in front of a glass window.,Restraunts don't exist.,2
Three men works dressed in orange and green uniforms sit under a tree for a well deserved break.,Men are on their lunch break under a tree.,1
A woman carrying a white ball is running behind a small boy.,A woman is holding a small boy in her arms.,2
A man in a dark gray shirt and striped open button-down shirt crouches down behind a set of wooden bars and looks through them into the camera.,The man is being photographed while in prison.,1
A child wearing a blue shirt is walking on the street holding up two fingers.,The child is wearing a white t-shirt and riding a skateboard.,2
a smiling woman wearing a white dress.,a woman glares at the sun.,2
A man is sitting on a white horse and the bridle and saddle straps are decorated with colorful pieces of tissue-like material.,A man is riding a horse in a bank.,2
A broad shot of a soccer field with players in game,Two dogs wrestling.,2
A woman wearing a nice dress with one hand in her hair standing in front of a palm tree.,A woman is outside,0
A man in a blue uniform works beside a train on train tracks.,A man wearing a uniform is working.,0
Three young boys pay attention to something.,Three boys are sleeping at the camp site.,2
"A man in a brown uniform reaching out from an industrial doorway, as if he is going to shut the door.",A UPS driver closing the door.,1
"An Asian woman is walking in street, dressed up in green high heels.",An asian woman makes her way to the restaurant where she is meeting her blind date.,1
four young puppies snuggling together in the middle of a blanket.,There are several dogs.,0
An individual is wearing a shirt or jacket with a large eye on the back.,An individual has an eye on the back of their clothing,0
"Two young boys play besides a lake, throwing rocks into the water.",A group of adults are frolicking around for no reason.,2
"Two climbers attempting to climb a steep, snow-covered peak, nearing the top, where two other climbers await them.",Two climbers attempting to climb.,0
A white dog and green shirted child running in the grass.,There are dogs sitting outdoors,2
A woman mounts a ladder to paint the ceiling.,a child carefully uses a ramp,2
A man in a blue button up shirt and slacks is sleeping in a window display.,The man is having a dream.,1
A man in a hat and green shirt is pushing luggage on a blue cart.,A man is wearing a hat.,0
A man in blue stands outside of a building whilst using the phone.,A man is talking to his girlfriend about their upcoming trip.,1
A young woman wearing snowshoes sleds down a snowy hill.,A woman speeds down a rocky incline.,1
Street view of the Orient Hotel.,You can see the street.,0
A young girl sits on a rock overlooking a large field.,A young girl is playing with a ball.,2
A person wearing black clothing walks up a narrow flight of stairs between two bright red buildings.,The man is wearing a red jacket.,2
"A baby in a blue outfit, wrapped in a blanket, is sucking on her pacifier while laying down.",A baby is in a resting position.,0
A boy crouching behind some small logs playing paintball.,"A boy is outdoors, playing paintball.",0
"Two children, one of which is holding a stick, are standing on the beach as the sun begins to set.",Two children on the beach.,0
A white dog runs through a large blue tube.,A show dog performs with his trainer.,1
Man riding a bicycle on a foggy day.,A man exercising on a foggy morning.,1
A woman in pink is posing with a small girl and a farm animal overlooking a grassy scenic hilltop.,The people are taking a picture to post online.,1
"A black man is posing for a photo with two other people, showing just their hands, points guns at him.",the man is jumping off a cliff,2
group of musicians playing on the street,musicians are playing on the street,0
The horse on the right is red.,There is more than one horse.,0
A baby on the floor laughing at an older another child.,The child makes the baby on the floor laugh.,0
"A man with a hat, glasses, jewelry and a jacket stands against an orange wall.",A man sits on a wall.,2
A indoor girls volleyball match is behind help at the olympic games while one team performs a spike move.,An Olympic girls volleyball match is being played indoors.,0
A woman is wearing a blue hat looking at another woman.,The woman in the blue hat was staring at the wall.,2
a lone surfer diving into a large wave,There are several surfers.,2
"A small South American child running on a cobblestone pathway, by a blue wall with a door.",The pathway is narrow.,1
Bicyclists sit on their speed bikes in preparation for a race.,A runner prepares to begin a marathon.,2
People inside of a building with arcade machines.,The people are playing the arcade machines.,1
A boy is covered in bubbles.,The boy is covered in mud.,2
A crowd of people in Chinese hats lift cloth bundles.,A group of people wearing hats lift up cloth bags.,0
A group of construction workers standing on top of a building.,Workers are standing,0
A woman in a white coat and a man in a gray coat are walking on a sidewalk past the window of a store that sells jewelry.,Two people pass a jewelry store.,0
A skateboarder riding a rail.,A skateboarder is demonstrating tricks for a video.,1
A boy holding a fishing rod.,a boy is going fishing,0
A woman stands with a ferret and a dog.,the woman is cleaning playing with the animals,1
"A balding dark-haired man in a brown trench coat is chipping away at a stone block, surrounded by carved statues.",A man is using a chssel to dig out of prison while other inmates watch.,2
People outside in a city field.,People are in a field.,0
"An older women with gray hair and glasses, taking a nap in bed.",A woman takes a nap.,0
"A group of people in dark room holding candles and making the hand gesture ""three.""",A group conducts a seance by candlelight.,1
A construction worker is balancing on some scaffolding.,A construction worker is balancing on some scaffolding on his lunchbreak.,1
A large van drives down a counry road in the fall.,A truck site idly in a garage.,2
A young dark-haired girl with her hands raised over her head.,The girl with dark hair is holding a stuffed animal over her head.,1
"A vendor, selling such kid-friendly items as popular cartoon balloons, water guns and clear umbrellas, wheels his stand around in the streets where he is selling.",A man selling items for kids pulls his cart around.,1
A man in black pants and a green polo shirt is picking up trash around his man made lake.,A man in black pants is getting ready for a cookout by cleaning up his yard.,1
Asian girl holding a racket in the air in a gym.,The asian girl is playing tennis.,1
A young woman takes pictures while a crowd lounges on a green lawn.,A young woman in a blue dress takes pictures while a crowd lounges on a green lawn.,1
"On a sidewalk, tall man in a black shirt and a police officer with their backs to the viewer walk past a man in a white t-shirt, black shorts, and sandals.",The man is outside.,0
A child sleeping on the floor.,A child is eating dinner.,2
Two men holding their boat on the beach.,The boat is drifting away from the beach.,2
"A police officer wearing dark pants, a long-sleeved blue shirt, white gloves, a white hat, and an orange ""TRAFFIC"" vest is standing in the street directing vehicles.",The cop is in SWAT gear ready to knock down the door to a nusing home.,2
An Asian Lady in a fur trimmed hood talking on her cellphone.,A woman is talking on her cellphone.,0
"A photographer in a green shirt and jeans, stoops to photograph a swimmer in red that is exiting the pool.",The dolphins danced away on their tails as the audience applauded.,2
"Two people on the beach looking at the ocean, one with a yellow shirt, the other with a white shirt, both wearing red shorts.",A couple individuals in red shorts and different-colored shirts look at the water.,0
A man is standing at a podium with a microphone in front of his face.,A man giving a speech.,1
A man on a motorcycle with a cigarette hanging from his mouth.,The man is old,1
A girl wearing a pink hat and gray pants climbing a chain link fence.,The girl is a boy.,2
A woman stands in the road looking off at the buildings in the distance.,A woman is on the road.,0
A young boy wearing a race number on his shirt leaning over and looking to his right.,A young boy is in his first race.,1
An adolescent woman jumps in front of an outdoor court.,A woman is at a outdoor court.,0
Boy playing with yellow toy boat on brown muddy water.,A man pedals a bicycle down a road.,2
"This is the image of an older man, who sitting with his legs folded near stack of dry grass.",An old farmer is sitting next to his stack of dry grass outside.,1
A couple is sitting down together next to a sewer entrance.,A couple is sitting down by a stinky sewer entrance.,1
A young main is working in a wood shop with ear protection.,A teenager cuts wood in a loud shop.,1
Two people tend to their table of products at a street market.,Two people are at their table at a street market.,0
A woman lies down on an old couch sitting on the grass.,The woman is being served baluga caviar by a man in a tuxedo.,2
